OLD Name  ,New Name
SW71,SW63
SW72,SW65
SW70,SW64
SW69,SW66
SW67,SW67
SW66,SW69
SW68,SW68
SW59,SW70
SW60,SW71
SW61,SW73
SW65,SW72
SW62,SW75
SW63,SW74
SW64,SW76
SW75,SW85
SW73,SW86
SW74,SW87
SW48,SW55
SW47,SW56
SW49,SW57
SW46,SW60
SW45,SW58
SW44,SW61
SW42,SW62
SW43,SW59
SW41,SW54
SW40,SW52
SW26,SW50
SW29,SW33
SW28,SW35
SW27,SW36
SW30,SW34
SW23,SW31
SW32,SW25
SW33,SW24
SW35,SW27
SW34,SW26
SW36,SW28
SW38,SW31
SW37,SW32
SW39,SW30
SW25,SW53
SW51,SW10
SW50,SW8
SW54,SW11
SW52,SW7
SW53,SW6
SW55,SW5
SW2,SW37
SW1,SW38
SW4,SW40
SW3,SW39
SW5,SW41
SW9,SW42
SW8,SW43
SW7,SW44
SW6,SW45
SW23,SW46
SW24,SW47
SW22,SW48
SW21,SW49
SW58,SW1
SW57,SW2
SW56,SW3
SW12,SW14
SW13,SW15
SW14,SW16
SW15,SW17
SW16,SW18
SW17,SW19
SW18,SW20
SW19,SW21
SW20,SW22
SW10,SW12
SW11,SW13
SE41,SE36
SE40,SE37
SE39,SE38
SE38,SE39
SE101,SE40
SE37,SE41
SE35,SE18
SE33,SE19
SE32,SE20
SE29,SE21
SE28,SE22
SE21,SE23
SE20,SE28
SE23,SE26
SE22,SE27
SE26,SE34
SE261,SE35
SE36,SE31
SE19,SE29
SE18,SE32
SE17,SE33
SE7,SE5
SE1,SE01
SE2,SE02
SE3,SE03
SE4,SE04
SE6,SE06
SE5,SE07
SE16,SE17
SE13,SE09
SE12,SE10
SE14,SE11
SE11,SE12
SE10,SE13
SE9,SE14
SE8,SE15
